Date,Movie,Chain,Screenings,Screen_Share(%)
2019년 01월 16일(Wed),그대 이름은 장미,롯데시네마,416,7.9%
2019년 01월 16일(Wed),그대 이름은 장미,메가박스,530,11.8%
2019년 01월 16일(Wed),그대 이름은 장미,씨네Q,32,13.8%
2019년 01월 16일(Wed),언더독,CGV,704,9.9%
2019년 01월 16일(Wed),언더독,롯데시네마,417,7.9%
2019년 01월 16일(Wed),언더독,메가박스,260,5.8%
2019년 01월 16일(Wed),언더독,씨네Q,21,9.1%
2019년 01월 16일(Wed),주먹왕 랄프 2: 인터넷 속으로,CGV,597,8.4%
2019년 01월 16일(Wed),주먹왕 랄프 2: 인터넷 속으로,롯데시네마,356,6.8%
2019년 01월 16일(Wed),주먹왕 랄프 2: 인터넷 속으로,메가박스,340,7.6%
2019년 01월 16일(Wed),주먹왕 랄프 2: 인터넷 속으로,씨네Q,22,9.5%
2019년 01월 17일(Thu),말모이,CGV,1190,16.6%
2019년 01월 17일(Thu),말모이,롯데시네마,1230,23.0%
2019년 01월 17일(Thu),말모이,메가박스,768,17.3%
2019년 01월 17일(Thu),말모이,씨네Q,43,17.8%
2019년 01월 17일(Thu),글래스,CGV,1323,18.5%
2019년 01월 17일(Thu),글래스,롯데시네마,961,18.0%
2019년 01월 17일(Thu),글래스,메가박스,944,21.2%
2019년 01월 17일(Thu),글래스,씨네Q,31,12.8%
2019년 01월 17일(Thu),내안의 그놈,CGV,1074,15.0%
2019년 01월 17일(Thu),내안의 그놈,롯데시네마,1039,19.5%
2019년 01월 17일(Thu),내안의 그놈,메가박스,735,16.5%
2019년 01월 17일(Thu),내안의 그놈,씨네Q,37,15.3%
2019년 01월 17일(Thu),언더독,CGV,584,8.2%
2019년 01월 17일(Thu),언더독,롯데시네마,398,7.5%
2019년 01월 17일(Thu),언더독,메가박스,238,5.3%
2019년 01월 17일(Thu),언더독,씨네Q,16,6.6%
2019년 01월 17일(Thu),그대 이름은 장미,CGV,385,5.4%
2019년 01월 17일(Thu),그대 이름은 장미,롯데시네마,277,5.2%
2019년 01월 17일(Thu),그대 이름은 장미,메가박스,387,8.7%
2019년 01월 17일(Thu),그대 이름은 장미,씨네Q,28,11.6%
2019년 01월 18일(Fri),말모이,CGV,1341,18.5%
2019년 01월 18일(Fri),말모이,롯데시네마,1286,23.8%
2019년 01월 18일(Fri),말모이,메가박스,888,19.7%
2019년 01월 18일(Fri),말모이,씨네Q,50,20.6%
2019년 01월 18일(Fri),글래스,CGV,1305,18.0%
2019년 01월 18일(Fri),글래스,롯데시네마,982,18.2%
2019년 01월 18일(Fri),글래스,메가박스,898,19.9%
2019년 01월 18일(Fri),글래스,씨네Q,36,14.8%
